,head,head_replaced,head_translated
5426,new playbook,new playbook,新剧本
5427,potato masher,potato masher,马铃薯捣烂器
5428,dog dish,dog dish,狗食
5429,surrey,surrey,萨里
5430,set off late,set off late,晚出发
5431,hygienist,hygienist,牙医助手
5432,eat pizza,eat pizza,吃比萨
5433,collect welfare,collect welfare,领取福利
5434,hot drink,hot drink,热饮
5435,nitrous oxide gas,nitrous oxide gas,氧化亚氮气体
5436,fat opera singer,fat opera singer,胖歌剧演员
5437,cream cheese,cream cheese,奶油干酪
5438,cosmic dust,cosmic dust,宇宙尘
5439,rake,rake,耙
5440,sswimsuit,sswimsuit,泳衣
5441,thimble,thimble,顶针
5442,game tables,game tables,游戏表
5443,hippocrates,hippocrates,希波克拉底
5444,twistie tie,twistie tie,twistie领带
5445,environment,environment,环境
5446,excersise,excersise,节选
5447,eviction order,eviction order,驱逐令
5448,lame fabric,lame fabric,跛脚织物
5449,yellow pages,yellow pages,黄页
5450,join air force,join air force,加入空军
5451,newton,newton,牛顿
5452,drum machine,drum machine,电子鼓
5453,drivers liscense,drivers liscense,司机
5454,gets dustbin,gets dustbin,垃圾箱
5455,sapling,sapling,树苗
5456,game cd,game cd,游戏光碟
5457,exercise drills,exercise drills,运动训练
5458,pheon,pheon,菲翁
5459,orginal songs,orginal songs,原始歌曲
5460,snow boots,snow boots,雪地靴
5461,strong,strong,强大的
5462,plowman,plowman,农夫
5463,paint roller,paint roller,漆滚筒
5464,baby gear,baby gear,婴儿用品
5465,wine glass,wine glass,葡萄酒杯
5466,remote key fob,remote key fob,远程密钥fob
5467,recording studio,recording studio,录音室
5468,top floor,top floor,顶层
5469,photgraphs,photgraphs,光片
5470,phantom limb pain,phantom limb pain,幻肢痛
5471,concession stand,concession stand,特许林
5472,goto shop,goto shop,去商店
5473,data,data,数据
5474,lesson,lesson,课程
5475,final paycheck,final paycheck,最终薪金
5476,lots of alcohol,lots of alcohol,大量的酒精
5477,facuet,facuet,面罩
5478,cucumber and yoghurt sauce,cucumber and yoghurt sauce,黄瓜酸奶酱
5479,reusable bag,reusable bag,环保袋
5480,one place person,one place person,一个地方的人
5481,shutter,shutter,快门
5482,local vet,local vet,当地兽医
5483,stand in queue,stand in queue,排队
5484,coat or jacket,coat or jacket,外套或夹克
5485,contraceptive,contraceptive,避孕药
5486,rooms,rooms,房间
5487,dog lover,dog lover,爱狗人士
5488,wedding band,wedding band,结婚戒指
5489,dange,dange,危险
5490,envlope,envlope,恩弗洛普
5491,membership dues,membership dues,会费
5492,web cam,web cam,网络摄像头
5493,facility,facility,设施
5494,borrow book from library,borrow book from library,从图书馆借书
5495,angry child,angry child,愤怒的孩子
5496,repairman,repairman,修理工
5497,pair of shoes,pair of shoes,一双鞋
5498,house,house,房子
5499,dream mansion,dream mansion,梦幻庄园
5500,polar bear,polar bear,北极熊
5501,october,october,十月
5502,grove,grove,小树林
5503,power cable,power cable,电力电缆
5504,run away,run away,逃离
5505,con men,con men,骗子
5506,cabriolet,cabriolet,敞篷车
5507,teaching degree,teaching degree,教学学位
5508,wreath,wreath,花环
5509,outdoor cookware,outdoor cookware,户外炊具
5510,boat of gravy,boat of gravy,船形肉汁
5511,skin cream,skin cream,护肤霜
5512,utilites,utilites,利用率
5513,rotor,rotor,转子
5514,lute,lute,诗琴
5515,mature person,mature person,成熟的人
5516,structure,structure,结构
5517,beverage dispenser,beverage dispenser,饮料机
5518,fans,fans,粉丝
5519,discount car,discount car,优惠车
5520,bycicle,bycicle,拜西克勒
5521,options,options,选项
5522,in summer time tress,in summer time tress,在夏天的时候
5523,piercing,piercing,穿孔
5524,raw fish,raw fish,生鱼片
5525,steady hands,steady hands,双手稳稳
5526,hot brick,hot brick,热砖
5527,emotions,emotions,情绪
5528,kettle,kettle,壶
5529,clothes hanger,clothes hanger,衣架
5530,dashboard,dashboard,仪表板
5531,miracle,miracle,奇迹
5532,cleaver,cleaver,大菜刀
5533,s,s,熵
5534,water lily,water lily,睡莲
5535,insufficient sleep,insufficient sleep,睡眠不足
5536,lizard,lizard,蜥蜴
5537,swimming shorts,swimming shorts,游泳短裤
5538,suntan lotion,suntan lotion,防晒油
5539,ammo,ammo,弹药
5540,eat food for dinner,eat food for dinner,晚餐吃食物
5541,working car,working car,工作车
5542,melatonin,melatonin,褪黑激素
5543,good salesman,good salesman,优秀的推销员
5544,men's cup,men's cup,男杯
5545,toothbrush handle,toothbrush handle,牙刷柄
5546,expatriate,expatriate,侨民
5547,medical help,medical help,医疗救助
5548,jumprope,jumprope,jumprope
5549,retire,retire,退休
5550,brief case,brief case,公文包
5551,quarter back,quarter back,四分之一回来
5552,mouse,mouse,老鼠
5553,supermodel,supermodel,超级名模
5554,pizza pan,pizza pan,比萨锅
5555,bases,bases,基础
5556,pot hole,pot hole,壶穴
5557,graveyard,graveyard,墓地
5558,trowels,trowels,泥刀
5559,nail polish,nail polish,指甲油
5560,robbery,robbery,抢劫
5561,number on the poster,number on the poster,海报上的号码
5562,great,great,太好了
5563,firing pin,firing pin,撞针
5564,new key,new key,新钥匙
5565,microsoft chart,microsoft chart,微软图表
5566,mechanical engineer,mechanical engineer,机械工程师
5567,humidity,humidity,湿度
5568,chairs,chairs,椅子
5569,take in film,take in film,拍摄电影
5570,price,price,价格
5571,pipe organ,pipe organ,管风琴
5572,get job,get job,找工作
5573,cold drink,cold drink,冷饮
5574,sun exposure,sun exposure,日晒
5575,batting glove,batting glove,击球手套
5576,copy of lease,copy of lease,租契副本
5577,velcrow,velcrow,维尔克罗
5578,shooters,shooters,射击运动员
5579,sneaky spy,sneaky spy,卑鄙的间谍
5580,food and drink,food and drink,饮食
5581,no show socks,no show socks,不展示袜子
5582,weekly ad,weekly ad,每周广告
5583,hobbyist,hobbyist,爱好者
5584,single stick,single stick,单棍
5585,chess king,chess king,棋王
5586,purchacing tennis racket,purchacing tennis racket,购买网球拍
5587,goose,goose,鹅
5588,good,good,好的
5589,wii console,wii console,wii游戏机
5590,antipruritic,antipruritic,止痒药
5591,smelly foo foos,smelly foo foos,臭烘烘的食物
5592,liquid,liquid,液体
5593,real estate guide,real estate guide,房地产指南
5594,team shirt,team shirt,队服
5595,iv fluid,iv fluid,液体
5596,pearl,pearl,珍珠
5597,play soccer,play soccer,踢足球
5598,vegetables,vegetables,蔬菜
5599,closing sign,closing sign,关闭标志
5600,koala,koala,树袋熊
5601,buy coffee,buy coffee,印度求购咖啡
5602,jigsaw box lid,jigsaw box lid,拼图盒盖
5603,toothbrush cup,toothbrush cup,牙刷杯
5604,rabbi,rabbi,拉比
5605,dark place,dark place,黑暗之地
5606,high school,high school,高中
5607,coil,coil,线圈
5608,pencils,pencils,铅笔
5609,formula,formula,公式
5610,riot,riot,闹事
5611,oxygen tent,oxygen tent,氧幕
5612,blu-ray player,blu-ray player,蓝光播放器
5613,human flesh,human flesh,人肉
5614,dowser,dowser,道瑟
5615,scope,scope,范围
5616,bed pan,bed pan,平底锅
5617,classmates,classmates,同学
5618,lunch tray,lunch tray,午餐托盘
5619,breathalyzer,breathalyzer,呼气测醉器
5620,homemaker in family,homemaker in family,家庭家庭主妇
5621,mathematics,mathematics,数学
5622,automobile owner,automobile owner,汽车拥有者
5623,ultrasound machine,ultrasound machine,超声波机
5624,french athlete,french athlete,法国运动员
5625,bedskirt,bedskirt,床裙
5626,pom poms,pom poms,Pom Poms
5627,laminating machine,laminating machine,覆膜机
5628,i.d badge,i.d badge,身份证
5629,caucasions,caucasions,高加索
5630,scrabble player,scrabble player,拼字游戏玩家
5631,barbecue,barbecue,烧烤
5632,debate politics,debate politics,辩论政治
5633,folding chair,folding chair,折叠椅
5634,h,h,H
5635,marmot,marmot,土拨鼠
5636,settlement,settlement,结算
5637,materialism,materialism,唯物主义
5638,automobile oil,automobile oil,汽车用油
5639,wealth,wealth,财富
5640,computer system,computer system,计算机系统
5641,alam clock,alam clock,阿拉姆钟
5642,orchard,orchard,果园
5643,negotiating skills,negotiating skills,谈判技巧
5644,castanets,castanets,响板
5645,piaui,piaui,皮奥伊
5646,buy book,buy book,印度求购
5647,off ramp,off ramp,下匝道
5648,smoke alarm,smoke alarm,烟雾报警器
5649,bird house,bird house,鸟屋
5650,cornerback,cornerback,角卫
5651,power socket,power socket,电源插座
5652,bumble bee,bumble bee,大黄蜂
5653,coma,coma,昏迷
5654,dustpan,dustpan,簸箕
5655,usb cord,usb cord,usb线
5656,conquer nation,conquer nation,征服国家
5657,venus,venus,金星
5658,keys,keys,键
5659,punch,punch,打
5660,liscence,liscence,利塞斯
5661,gargle,gargle,含漱声
5662,sunglases,sunglases,日光浴
5663,clean clothes,clean clothes,干净的衣服
5664,venture capitalist,venture capitalist,风险投资者
5665,wallking,wallking,墙王
5666,tire iron,tire iron,拆轮胎棒
5667,blood pressure pump,blood pressure pump,血压泵
5668,use televisin,use televisin,使用电视
5669,sex in toilet,sex in toilet,厕所性爱
5670,regular chips,regular chips,普通薯片
5671,tracker,tracker,跟踪器
5672,sarcastic comic,sarcastic comic,讽刺漫画
5673,headline,headline,标题
5674,counter space,counter space,柜台空间
5675,rule,rule,规则
5676,braces,braces,背带
5677,wallet,wallet,钱包
5678,invest money or energy,invest money or energy,投资金钱或精力
5679,showgirl,showgirl,歌舞女演员
5680,dropper,dropper,滴管
5681,football boots,football boots,足球鞋
5682,head lamp,head lamp,头灯
5683,analysis of y,analysis of y,Y分析
5684,windsheild,windsheild,风衣
5685,farecard,farecard,farecard
5686,theater manager,theater manager,剧院经理
5687,most fuit,most fuit,最富丽堂皇
5688,pundit,pundit,权威
5689,lyric sheets,lyric sheets,歌词页
5690,surf board,surf board,冲浪板
5691,scratch paper,scratch paper,草稿纸
5692,karate,karate,空手道
5693,stirrups,stirrups,马镫
5694,harness,harness,马具
5695,affidavits,affidavits,宣誓书
5696,cranberry juice,cranberry juice,红莓汁
5697,adding machine,adding machine,加料机
5698,expendable income,expendable income,消耗性收入
5699,snow pants,snow pants,雪裤
5700,dry-erase markers,dry-erase markers,擦除标记
5701,runner bean chutney,runner bean chutney,四季豆酸辣酱
5702,gable,gable,山墙
5703,fancy outfit,fancy outfit,奇装异服
5704,socialize,socialize,交往
5705,screws,screws,螺丝
5706,lawn signs,lawn signs,草坪标志
5707,tennis racquet,tennis racquet,网球拍
5708,rice,rice,米
5709,font,font,字体
5710,champion,champion,冠军
5711,notecards,notecards,notecards
5712,loom,loom,织布机
5713,barstool,barstool,酒吧高脚凳
5714,tang,tang,刺鼻气味
5715,football gear,football gear,足球装备
5716,police,police,警察
5717,laptop/computer,laptop/computer,笔记本电脑／电脑
5718,wall,wall,墙
5719,jaws of life,jaws of life,生命的大白鲨
5720,night,night,夜
5721,music lover,music lover,音乐爱好者
5722,electric drill,electric drill,电钻
5723,alphabet,alphabet,字母表
5724,schoolbook,schoolbook,教科书
5725,tide pen,tide pen,潮笔
5726,albatross,albatross,信天翁
5727,nebbiolo grape chutney,nebbiolo grape chutney,内比奥罗葡萄酸辣酱
5728,grand vista,grand vista,宏伟的远景
5729,bright person,bright person,聪明的人
5730,need to relax,need to relax,需要放松
5731,butts,butts,巴茨
5732,sky,sky,天空
5733,note paper,note paper,附注纸
5734,wine,wine,葡萄酒
5735,drill hole,drill hole,钻孔
5736,letter of admission,letter of admission,录取通知书
5737,patch chord,patch chord,贴片和弦
5738,sailers,sailers,帆船
5739,baseball card collection,baseball card collection,棒球卡收藏
5740,cable plan,cable plan,电缆平面图
5741,fireboms,fireboms,火球
5742,flask,flask,瓶
5743,lucid dream,lucid dream,清醒梦
5744,divorce papers,divorce papers,离婚协议书
5745,ice hockey,ice hockey,冰球
5746,classmate,classmate,同班同学
5747,charity organization,charity organization,慈善组织
5748,mice,mice,老鼠
5749,hand soap,hand soap,洗手液
5750,writing instrutment,writing instrutment,书写工具
5751,cookie sheet,cookie sheet,烤板
5752,gather energy for tomorrow,gather energy for tomorrow,为明天积蓄能量
5753,kitty toy,kitty toy,小猫玩具
5754,clarinet in,clarinet in,单簧管
5755,sanitizing solution,sanitizing solution,消毒液
5756,dehydration,dehydration,脱水
5757,haress,haress,海斯
5758,jail cell,jail cell,牢房
5759,place setting,place setting,一副餐具
5760,windmill,windmill,风车
5761,yoghurt,yoghurt,酸奶
5762,sweat,sweat,汗水
5763,week,week,周
5764,running shoes,running shoes,跑鞋
5765,confetti,confetti,五彩纸屑
5766,vise,vise,老虎钳
5767,household items,household items,家庭用品
5768,floppy hat,floppy hat,松软的帽子
5769,spam,spam,垃圾电邮
5770,fiction book,fiction book,小说类书籍
5771,calender,calender,砑光机
5772,bathroom scale,bathroom scale,浴室磅秤
5773,curremcy,curremcy,居留权
5774,trobriand chief,trobriand chief,trobriand酋长
5775,parade,parade,游行
5776,fact literature,fact literature,事实文献
5777,shortstop,shortstop,游击手
5778,poles,poles,波兰人
5779,ved,ved,VED
5780,leaf blower,leaf blower,吹叶机
5781,produce,produce,生产
5782,torah,torah,律法
5783,twig,twig,嫩枝
5784,electronic file,electronic file,电子档案
5785,coin sorter,coin sorter,硬币清分机
5786,elderly person,elderly person,长者
5787,badges,badges,徽章
5788,rhetoric,rhetoric,修辞学
5789,volunteer,volunteer,志愿者
5790,bride and groom,bride and groom,新娘和新郎
5791,sharp knife,sharp knife,锋利的刀
5792,medical history,medical history,病史
5793,tactful person,tactful person,圆滑的人
5794,field hand,field hand,农场工人
5795,staple gun,staple gun,钉枪
5796,party giver,party giver,派对主办人
5797,extra home,extra home,额外住房
5798,lidded bowl,lidded bowl,盖碗
5799,pedstrians,pedstrians,脚趾甲
5800,terrorism,terrorism,恐怖主义
5801,eel,eel,鳗
5802,lump,lump,块
5803,bikes,bikes,自行车
5804,shells,shells,壳
5805,place,place,地方
5806,landmine,landmine,地雷
5807,plankton,plankton,浮游生物
5808,brick,brick,砖
5809,creative chef,creative chef,创意厨师
5810,hazard lights,hazard lights,危险信号灯
5811,greeting cards,greeting cards,贺卡
5812,school id card,school id card,学校身份证
5813,literature,literature,文学
5814,thanksgiving,thanksgiving,感恩节
5815,go to war,go to war,上战场
5816,cooker,cooker,炊具
5817,flashy outfit,flashy outfit,华丽的服装
5818,tour de france,tour de france,环法自行车赛
5819,zombie,zombie,僵尸
5820,internet,internet,互联网
5821,vitamin supplements,vitamin supplements,补充维生素
5822,business software,business software,商业软件
5823,mad man,mad man,疯子
5824,fall over,fall over,跌倒
5825,rice cooker,rice cooker,电饭煲
5826,chew food,chew food,咀嚼食物
5827,newspaper clippings,newspaper clippings,剪报
5828,food diary,food diary,食物日记
5829,sunscreen lotion,sunscreen lotion,防晒乳液
5830,rubber tips,rubber tips,橡胶头
5831,server,server,服务器
5832,pianst,pianst,钢琴
5833,reference letter,reference letter,推荐信
5834,mumps,mumps,腮腺炎
5835,astronomer,astronomer,天文学家
5836,filler,filler,填料
5837,beverages,beverages,饮料
5838,guest list,guest list,客人名单
5839,go for swim,go for swim,去游泳
5840,keg,keg,小桶
5841,stereo,stereo,立体声
5842,fabric softener,fabric softener,织物柔软剂
5843,red chili,red chili,红辣椒
5844,breath mint,breath mint,薄荷糖
5845,pregnant woman,pregnant woman,孕妇
5846,record somethign,record somethign,记录某事
5847,hare,hare,野兔
5848,blackout blinds,blackout blinds,灯火管制百叶窗
5849,sun bather,sun bather,日光浴者
5850,editorial,editorial,编辑的
5851,bidder,bidder,投标者
5852,long cord,long cord,长绳
5853,turn off light,turn off light,关灯
5854,birdseed,birdseed,鸟食籽
5855,dessert,dessert,甜点
5856,camcorder,camcorder,摄像机
5857,study notes,study notes,研究报告
5858,hand dryer,hand dryer,干手器
5859,coat and shoes,coat and shoes,外套和鞋子
5860,each house in neighborhood,each house in neighborhood,每栋房子
5861,tire wrench,tire wrench,轮胎扳手
5862,high heels,high heels,高跟鞋
5863,spammer,spammer,垃圾邮件发送者
5864,protein shake,protein shake,蛋白奶昔
5865,world globe,world globe,世界地球仪
5866,open carton,open carton,开箱
5867,retirement fund,retirement fund,退休基金
5868,palette,palette,调色板
5869,cindy,cindy,辛迪
5870,electric guitar,electric guitar,电吉他
5871,paper bits,paper bits,纸屑
5872,preworkout drink,preworkout drink,运动前饮料
5873,clubbing clothes,clubbing clothes,夜总会服装
5874,weight plates,weight plates,重量板
5875,voucher,voucher,票券
5876,merry go round,merry go round,旋转木马
5877,lingerie,lingerie,女内衣
5878,tree branch,tree branch,树枝
5879,sugar in grocery store,sugar in grocery store,杂货店的糖
5880,fire alarm,fire alarm,火警铃
5881,new hire packet,new hire packet,新租用包
5882,travel documents,travel documents,旅行证件
5883,dormar window,dormar window,德马窗
5884,writing implements,writing implements,书写工具
5885,wellingtons,wellingtons,威灵顿
5886,wedding veil,wedding veil,婚纱
5887,clean,clean,干净的
5888,enemy,enemy,敌人
5889,job,job,工作
5890,sit at desk too long,sit at desk too long,伏案太久
5891,comfy couch,comfy couch,舒适的沙发
5892,average human body,average human body,平均人体
5893,tequila,tequila,龙舌兰酒
5894,alive,alive,活着
5895,prankster,prankster,开玩笑者
5896,terrier,terrier,㹴
5897,steap drop in elevation,steap drop in elevation,陡坡下降
5898,stocking cap,stocking cap,绒线帽
5899,waitstaff,waitstaff,服务人员
5900,clueless person,clueless person,无知的人
5901,old key,old key,旧钥匙
5902,spare time,spare time,业余时间
5903,nicotine,nicotine,尼古丁
5904,dating account,dating account,约会帐户
5905,stairmaster,stairmaster,跑步机
5906,meterologist,meterologist,计量学家
5907,abstract,abstract,摘要
5908,computer and printer,computer and printer,电脑和打印机
5909,waves,waves,波
5910,wood pulp,wood pulp,木浆
5911,digitalis,digitalis,洋地黄
5912,black cape,black cape,黑披风
5913,reference,reference,参考
5914,jaw,jaw,下巴
5915,writing utenstil,writing utenstil,书写用具
5916,wild flower,wild flower,野花
5917,food court,food court,食品法庭
5918,master degree,master degree,硕士学位
5919,legal aid solicitor,legal aid solicitor,法律援助律师
5920,instrumentalists,instrumentalists,乐器演奏家
5921,use internet,use internet,使用互联网
5922,explain,explain,解释
5923,golf course,golf course,高尔夫球场
5924,anxiety medication,anxiety medication,焦虑症药物
5925,motar and pestle,motar and pestle,摩塔和杵
5926,coaching staff,coaching staff,教练组
5927,magazine photo,magazine photo,杂志图片
5928,sleeper,sleeper,卧铺
5929,nightclub,nightclub,夜总会
5930,payment app,payment app,支付应用
5931,hangnail,hangnail,倒刺
5932,bitch,bitch,婊子
5933,democrat,democrat,民主党人
5934,understand evolution,understand evolution,理解进化论
5935,fruits and vegetables,fruits and vegetables,水果和蔬菜
5936,carnival,carnival,狂欢节
5937,tins,tins,罐头
5938,diploma,diploma,毕业文凭
5939,leave house,leave house,离开家
5940,governmental leader,governmental leader,政府领导人
5941,toll highway,toll highway,收费公路
5942,friends,friends,朋友
5943,post-it note,post-it note,便利贴
5944,beach ball,beach ball,沙滩球
5945,extra battery,extra battery,额外电池
5946,electrostatic plotter,electrostatic plotter,静电绘图仪
5947,rifle,rifle,步枪
5948,dead leaf,dead leaf,枯叶
5949,expired license,expired license,许可证过期
5950,elementary school,elementary school,小学
5951,chicken,chicken,鸡
5952,taciturn person,taciturn person,沉默寡言的人
5953,porter,porter,行李工
5954,stern,stern,严厉的
5955,bus schedule,bus schedule,公共汽车时刻表
5956,devious person,devious person,狡猾的人
5957,choir stall,choir stall,合唱团摊位
5958,jewlery,jewlery,珠宝业
5959,book strap,book strap,书带
5960,backgammon,backgammon,西洋双陆棋
5961,shoe polish,shoe polish,鞋油
5962,gym shoes,gym shoes,运动鞋
5963,eat candy,eat candy,吃糖果
5964,instructor,instructor,教师
5965,table and chairs,table and chairs,桌椅
5966,cavity,cavity,腔
5967,candleholders,candleholders,烛台架
5968,text,text,文本
5969,restroom,restroom,盥洗室
5970,calling device,calling device,呼叫装置
5971,cuba,cuba,古巴
5972,ads,ads,广告
5973,paper currency,paper currency,纸币
5974,traschcan,traschcan,特拉什坎
5975,blazer,blazer,夹克
5976,communication instrument,communication instrument,通信工具
5977,video recorder,video recorder,录像机
5978,mural,mural,壁画
5979,mixture,mixture,混合
5980,appointment card,appointment card,预约咭
5981,outline,outline,轮廓线
5982,lawn-mower,lawn-mower,割草机
5983,video game system,video game system,电子游戏系统
5984,machines,machines,机器
5985,herring,herring,鲱鱼
5986,big hat,big hat,大帽子
5987,light bulb,light bulb,灯泡
5988,license,license,许可
5989,extra ticket,extra ticket,额外票
5990,pineapple giner chutney,pineapple giner chutney,菠萝giner酸辣酱
5991,kitchenette,kitchenette,小厨房
5992,barricade,barricade,路障
5993,mountain lion,mountain lion,美洲狮
5994,flahslight,flahslight,高亮度
5995,fuel pump,fuel pump,燃油泵
5996,disney fan,disney fan,迪士尼迷
5997,deck,deck,甲板
5998,middle school,middle school,中学
5999,commit perjury,commit perjury,作伪证
6000,investment portolio,investment portolio,投资portolio
6001,american money,american money,美国货币
6002,clothing line,clothing line,服装系列
6003,canadian flag,canadian flag,加拿大国旗
6004,g-string,g-string,G－字符串
6005,brown bag,brown bag,棕色包
6006,petitioner,petitioner,请愿者
6007,small kitchen,small kitchen,小厨房
6008,relationship,relationship,关系
6009,some transportation,some transportation,一些交通工具
6010,shoe rack,shoe rack,鞋架
6011,wifi device,wifi device,wifi设备
6012,grandchild,grandchild,孙子
6013,swim shorts,swim shorts,游泳短裤
6014,ear protectors,ear protectors,护耳器
6015,tire jack,tire jack,轮胎千斤顶
6016,visa card,visa card,visa卡
6017,silicon aluminum copper and gold,silicon aluminum copper and gold,硅铝铜和金
6018,toffee,toffee,太妃糖
6019,rest room,rest room,公共厕所
6020,perpetrator,perpetrator,犯罪者
6021,revory,revory,revory
6022,background report,background report,背景报告
6023,college diploma,college diploma,大学文凭
6024,hand rail,hand rail,栏杆
6025,poor person,poor person,穷人
6026,ruler,ruler,统治者
6027,cathedral,cathedral,大教堂
6028,emergency switch,emergency switch,紧急开关
6029,court system,court system,法院系统
6030,solar cell,solar cell,太阳能电池
6031,diet,diet,节食
6032,kiosk,kiosk,小亭
6033,imaginative person,imaginative person,想象力丰富的人
6034,intense heat,intense heat,酷热
6035,book bag,book bag,书包
6036,dairy maid,dairy maid,奶牛场女佣
6037,zipper,zipper,拉链
6038,concrete mixer,concrete mixer,混凝土搅拌机
6039,karate master,karate master,空手道高手
6040,queen,queen,女王
6041,backack,backack,巴克亚克
6042,jewish person,jewish person,犹太人
6043,pear cardamum chutney,pear cardamum chutney,梨豆蔻酸辣酱
6044,fancy glass,fancy glass,花式玻璃
6045,handheld mirror,handheld mirror,手持镜子
6046,seasoning,seasoning,调味品
6047,butterfly,butterfly,蝴蝶
6048,passenger ticket,passenger ticket,客票
6049,sheets of music,sheets of music,乐谱
6050,bike path,bike path,自行车道
6051,redwing fan,redwing fan,红翼扇
6052,bottle of club soda,bottle of club soda,提供一瓶苏打水
6053,carfare,carfare,票价
6054,litter,litter,垃圾
6055,game of chess,game of chess,一盘棋
6056,become more clean,become more clean,变得更干净
6057,larry,larry,拉里
6058,earpiece,earpiece,听筒
6059,extra job,extra job,额外工作
6060,parking pass,parking pass,停车证
6061,sweatshirt,sweatshirt,运动衫
6062,cold ice cream,cold ice cream,冷冰淇淋
6063,bottom of ocean,bottom of ocean,海底
6064,cable/satellite,cable/satellite,电缆／卫星
6065,funny,funny,有趣的
6066,hair salon,hair salon,美发沙龙
6067,late worker,late worker,迟到的工人
6068,sea anemone,sea anemone,海葵
6069,staple,staple,主食
6070,lottery tickets,lottery tickets,彩票
6071,want to sit down,want to sit down,想坐下吗
6072,concrete brick,concrete brick,混凝土砖
6073,new relationship,new relationship,新关系
6074,mold,mold,模子
6075,training clothes,training clothes,训练服
6076,tympani,tympani,定音鼓
6077,therapist,therapist,治疗专家
6078,litigation,litigation,诉讼
6079,february,february,二月
6080,tablecloths,tablecloths,桌布
6081,wet umbrella,wet umbrella,湿伞
6082,lures,lures,鱼饵
6083,pregant lady,pregant lady,孕妇
6084,brake pad,brake pad,制动垫块
6085,high tops,high tops,高顶
6086,music attire,music attire,音乐装束
6087,arrow,arrow,箭
6088,hot secretary,hot secretary,性感秘书
6089,toggle switch,toggle switch,拨动开关
6090,kkk,kkk,kkk
6091,catch ball,catch ball,接球
6092,sexual stimulation,sexual stimulation,性刺激
6093,new iphone,new iphone,新iPhone
6094,competitive person,competitive person,有竞争力的人
6095,purpose to,purpose to,目的
6096,message,message,消息
6097,fall asleep,fall asleep,睡着
6098,loan officer,loan officer,信贷员
6099,cheeseburger,cheeseburger,吉士汉堡
6100,drawer,drawer,抽屉
6101,inner space,inner space,内心世界
6102,salad tongs,salad tongs,沙拉钳
6103,touchpad,touchpad,TouchPad
6104,reward card,reward card,奖励卡
6105,tool belt,tool belt,工具皮带
6106,bottle of asprin,bottle of asprin,一瓶阿斯普林
6107,go to church,go to church,去教堂
6108,fortran,fortran,公式翻译程序语言
6109,dr,dr,博士
6110,faux pa,faux pa,人造pa
6111,trails,trails,小径
6112,headband,headband,头带
6113,tasty food,tasty food,可口的食物
6114,large,large,大的
6115,ear buds,ear buds,耳塞
6116,mechanical sharpener,mechanical sharpener,机械卷笔刀
6117,new van,new van,新货车
6118,get out of debt,get out of debt,摆脱债务
6119,nicknack,nicknack,尼克纳克
6120,rock,rock,岩石
6121,teacher's study guide,teacher's study guide,教师学习指南
6122,flint,flint,火石
6123,question,question,问题
6124,baywatch,baywatch,Baywatch
6125,military equipment,military equipment,军事装备
6126,well,well,好
6127,screensaver,screensaver,屏幕保护程序
6128,sleepingbag,sleepingbag,睡袋
6129,scabbard,scabbard,鞘
6130,graph,graph,图表
6131,club chair,club chair,俱乐部主席
6132,laundry soap,laundry soap,洗衣皂
6133,play saxophone,play saxophone,演奏萨克斯管
6134,cloth,cloth,布
6135,light pole,light pole,灯杆
6136,mandolin,mandolin,曼陀林
6137,legal papers,legal papers,法律文件
6138,goias,goias,戈亚斯州
6139,exercise plan,exercise plan,演习计划
6140,have party,have party,开派对
6141,audience,audience,观众
6142,spurs,spurs,马刺
6143,email,email,电子邮件
6144,stadium stand,stadium stand,体育场看台
6145,threshold,threshold,门口
6146,subwoofer,subwoofer,低音炮
6147,lender,lender,放款人
6148,shamppo,shamppo,香波
6149,drink coffee,drink coffee,喝咖啡
6150,join marine corps,join marine corps,加入海军陆战队
6151,gambler,gambler,赌徒
6152,navigator,navigator,领航员
6153,rear view mirror,rear view mirror,后视镜
6154,charging cable,charging cable,充电电缆
6155,overhead projector,overhead projector,投影仪
6156,bacteria,bacteria,细菌
6157,guitar,guitar,吉他
6158,bird droppings,bird droppings,鸟粪
6159,erasers,erasers,橡皮擦
6160,button,button,按钮
6161,flounder,flounder,挣扎
6162,college application,college application,大学申请
6163,not out of container,not out of container,不在集装箱内
6164,monarch,monarch,君主
6165,recieving favor,recieving favor,接受帮助
6166,touch screen,touch screen,触摸屏
6167,oath,oath,誓言
6168,lima,lima,利马
6169,boarding pass,boarding pass,登机牌
6170,marsh,marsh,沼泽
6171,empty suitcase,empty suitcase,空手提箱
6172,shoemaker,shoemaker,鞋匠
6173,interior design program,interior design program,室内设计程序
6174,packing boxes,packing boxes,包装盒
6175,hutch,hutch,厨柜
6176,conviction,conviction,定罪
6177,apple tree seeds,apple tree seeds,苹果树种子
6178,measuring tool,measuring tool,测量工具
6179,secondhand bookshop,secondhand bookshop,旧书店
6180,hydrogen bomb,hydrogen bomb,氢弹
6181,taxiway turn off,taxiway turn off,滑行道关闭
6182,tax software,tax software,税务软件
6183,unbrella,unbrella,unbrella
6184,gun safe,gun safe,枪支保险箱
6185,study guide,study guide,学习指南
6186,first class airplane seat,first class airplane seat,头等舱座位
6187,idli,idli,印度蒸米糕
6188,charms,charms,魅力
6189,kind man,kind man,善良的人
6190,fingers,fingers,手指
6191,squrels,squrels,雏鸽
6192,ballplayer,ballplayer,棒球手
6193,empathetic person,empathetic person,善解人意的人
